,id,gameid,platformid,queueid,seasonid,duration,creation,version
133562,137060,2506213518,NA1,420,8,2899,1495438946731,7.10.187.9675
133563,137061,2505461201,NA1,420,8,1597,1495363496386,7.10.187.9675
133564,137062,2504491490,NA1,420,8,1893,1495270579366,7.10.187.9675
133565,137063,2503848737,NA1,420,8,1323,1495184067484,7.10.187.9675
133566,137064,2503856097,NA1,420,8,2038,1495180159022,7.10.187.9675
133567,137065,2503853382,NA1,420,8,2272,1495177030171,7.10.187.9675
133568,137066,2501366104,NA1,420,8,1860,1494919416014,7.9.186.8155
133569,137067,2501383184,NA1,420,8,1881,1494917022909,7.9.186.8155
133570,137068,2500484914,NA1,420,8,2102,1494830106004,7.9.186.8155
133571,137069,2500463601,NA1,420,8,2632,1494823360681,7.9.186.8155
133572,137070,2500205537,NA1,420,8,2083,1494806695597,7.9.186.8155
133573,137071,2499918576,NA1,420,8,1221,1494761878227,7.9.186.8155
133574,137072,2499895595,NA1,420,8,1719,1494752835178,7.9.186.8155
133575,137073,2499854134,NA1,420,8,2664,1494743241192,7.9.186.8155
133576,137074,2498903851,NA1,420,8,1903,1494663437693,7.9.186.8155
133577,137075,2498240668,NA1,420,8,1358,1494576856449,7.9.186.8155
133578,137076,2496591233,NA1,440,8,2015,1494393598268,7.9.186.8155
133579,137077,2495208481,NA1,420,8,1536,1494232722495,7.9.186.8155
133580,137078,2495202103,NA1,420,8,2207,1494225745392,7.9.186.8155
133581,137079,2495178140,NA1,420,8,1667,1494223475483,7.9.186.8155
133582,137080,2495064298,NA1,420,8,1742,1494212806105,7.9.186.8155
133583,137081,2494976773,NA1,420,8,2060,1494206864452,7.9.186.8155
133584,137082,2493423072,NA1,420,8,2629,1494067166451,7.9.186.8155
133585,137083,2493419971,NA1,420,8,2003,1494061636619,7.9.186.8155
133586,137084,2493386708,NA1,420,8,1166,1494058298239,7.9.186.8155
133587,137085,2493374816,NA1,420,8,1196,1494056634532,7.9.186.8155
133588,137086,2493318524,NA1,420,8,2169,1494052913768,7.9.186.8155
133589,137087,2493311654,NA1,420,8,2131,1494049937682,7.9.186.8155
133590,137088,2492848568,NA1,420,8,2080,1494039533221,7.9.186.8155
133591,137089,2492815028,NA1,420,8,1757,1494035801455,7.9.186.8155
133592,137090,2492719428,NA1,420,8,1615,1494031022381,7.9.186.8155
133593,137091,2492358939,NA1,420,8,2196,1493969234956,7.9.186.1051
133594,137092,2492325343,NA1,420,8,1660,1493966828947,7.9.186.1051
133595,137093,2490527304,NA1,420,8,2574,1493790889926,7.8.184.113
133596,137094,2490533153,NA1,420,8,2085,1493788218972,7.8.184.113
133597,137095,2489685180,NA1,420,8,1792,1493703066206,7.8.184.113
133598,137096,2489205196,NA1,420,8,1854,1493629392162,7.8.184.113
133599,137097,2489181641,NA1,420,8,2267,1493623280144,7.8.184.113
133600,137098,2489153275,NA1,420,8,2072,1493616502958,7.8.184.113
133601,137099,2489099215,NA1,420,8,1782,1493614115731,7.8.184.113
133602,137100,2489074836,NA1,420,8,1522,1493611571047,7.8.184.113
133603,137101,2489009772,NA1,420,8,1597,1493604909259,7.8.184.113
133604,137102,2488872033,NA1,420,8,2105,1493601880221,7.8.184.113
133605,137103,2488662749,NA1,420,8,2122,1493598032940,7.8.184.113
133606,137104,2488477923,NA1,420,8,2078,1493586645754,7.8.184.113
133607,137105,2488257661,NA1,420,8,1222,1493556040217,7.8.184.113
133608,137106,2488263550,NA1,420,8,1238,1493544912740,7.8.184.113
133609,137107,2488209701,NA1,420,8,2599,1493539402828,7.8.184.113
133610,137108,2488201072,NA1,420,8,2124,1493533094077,7.8.184.113
133611,137109,2488116669,NA1,420,8,1951,1493530490372,7.8.184.113
133612,137110,2488069511,NA1,420,8,2473,1493527313414,7.8.184.113
133613,137111,2488052762,NA1,420,8,2407,1493524307479,7.8.184.113
133614,137112,2487997366,NA1,420,8,1660,1493522082531,7.8.184.113
133615,137113,2487219062,NA1,420,8,2139,1493459466755,7.8.184.113
133616,137114,2486620063,NA1,420,8,2052,1493367352625,7.8.184.113
133617,137115,2484921248,NA1,420,8,2659,1493191670403,7.8.184.113
133618,137116,2484898343,NA1,420,8,2052,1493188809829,7.8.184.113
133619,137117,2484823561,NA1,420,8,1653,1493179416788,7.8.184.113
133620,137118,2484084314,NA1,420,8,1563,1493111750952,7.8.184.113
133621,137119,2484047409,NA1,420,8,1966,1493102866330,7.8.184.113
133622,137120,2483408099,NA1,420,8,2320,1493018149635,7.8.184.113
133623,137121,2483395561,NA1,420,8,2191,1493014784924,7.8.184.113
133624,137122,2483183607,NA1,420,8,2758,1493007282734,7.8.184.113
133625,137123,2483066863,NA1,420,8,2122,1493004429341,7.8.184.113
133626,137124,2483041928,NA1,420,8,1829,1493002011132,7.8.184.113
133627,137125,2482579728,NA1,420,8,1549,1492964569475,7.8.184.113
133628,137126,2482562568,NA1,420,8,1922,1492955727110,7.8.184.113
