,id,matchid,player,championid,ss1,ss2,role,position
1333522,1364420,137060,1,63,4,14,DUO_SUPPORT,BOT
1333523,1364421,137060,2,103,14,4,SOLO,MID
1333524,1364422,137060,3,113,11,4,NONE,JUNGLE
1333525,1364423,137060,4,420,4,12,SOLO,TOP
1333526,1364424,137060,5,21,7,4,DUO_CARRY,BOT
1333527,1364425,137060,6,5,11,4,NONE,JUNGLE
1333528,1364426,137060,7,111,4,12,SOLO,TOP
1333529,1364427,137060,8,22,7,4,DUO_CARRY,BOT
1333530,1364428,137060,9,57,4,14,DUO_SUPPORT,BOT
1333531,1364429,137060,10,45,4,3,SOLO,MID
1333532,1364430,137061,1,89,3,4,DUO_SUPPORT,BOT
1333533,1364431,137061,2,38,12,4,SOLO,MID
1333534,1364432,137061,3,104,11,4,NONE,JUNGLE
1333535,1364433,137061,4,126,4,12,SOLO,TOP
1333536,1364434,137061,5,236,4,7,DUO_CARRY,BOT
1333537,1364435,137061,6,61,4,6,SOLO,MID
1333538,1364436,137061,7,19,4,11,NONE,JUNGLE
1333539,1364437,137061,8,86,4,14,SOLO,TOP
1333540,1364438,137061,9,26,4,3,DUO_SUPPORT,BOT
1333541,1364439,137061,10,119,4,7,DUO_CARRY,BOT
1333542,1364440,137062,1,58,4,12,SOLO,TOP
1333543,1364441,137062,2,103,4,12,SOLO,MID
1333544,1364442,137062,3,24,4,11,NONE,JUNGLE
1333545,1364443,137062,4,25,3,4,DUO_SUPPORT,BOT
1333546,1364444,137062,5,236,4,7,DUO_CARRY,BOT
1333547,1364445,137062,6,53,14,4,DUO_SUPPORT,BOT
1333548,1364446,137062,7,119,7,4,DUO_CARRY,BOT
1333549,1364447,137062,8,104,11,4,NONE,JUNGLE
1333550,1364448,137062,9,105,14,12,SOLO,TOP
1333551,1364449,137062,10,45,4,21,SOLO,MID
1333552,1364450,137063,1,104,4,7,DUO_CARRY,BOT
1333553,1364451,137063,2,143,4,14,DUO_SUPPORT,BOT
1333554,1364452,137063,3,134,4,6,SOLO,MID
1333555,1364453,137063,4,24,4,11,NONE,JUNGLE
1333556,1364454,137063,5,10,4,12,SOLO,TOP
1333557,1364455,137063,6,20,4,11,NONE,JUNGLE
1333558,1364456,137063,7,92,4,12,SOLO,TOP
1333559,1364457,137063,8,222,4,7,DUO_CARRY,BOT
1333560,1364458,137063,9,57,4,14,DUO_SUPPORT,BOT
1333561,1364459,137063,10,103,4,12,SOLO,MID
1333562,1364460,137064,1,90,4,14,DUO_SUPPORT,BOT
1333563,1364461,137064,2,32,4,11,NONE,JUNGLE
1333564,1364462,137064,3,236,4,7,DUO_CARRY,BOT
1333565,1364463,137064,4,157,3,4,SOLO,MID
1333566,1364464,137064,5,10,14,4,SOLO,TOP
1333567,1364465,137064,6,105,14,4,SOLO,MID
1333568,1364466,137064,7,92,12,4,SOLO,TOP
1333569,1364467,137064,8,81,7,4,DUO_CARRY,BOT
1333570,1364468,137064,9,40,3,4,DUO_SUPPORT,BOT
1333571,1364469,137064,10,11,14,11,NONE,JUNGLE
1333572,1364470,137065,1,85,12,4,SOLO,TOP
1333573,1364471,137065,2,96,7,4,DUO_CARRY,BOT
1333574,1364472,137065,3,113,4,14,DUO_SUPPORT,BOT
1333575,1364473,137065,4,133,4,11,NONE,JUNGLE
1333576,1364474,137065,5,10,4,7,SOLO,MID
1333577,1364475,137065,6,112,6,4,SOLO,MID
1333578,1364476,137065,7,43,3,4,DUO_SUPPORT,BOT
1333579,1364477,137065,8,222,7,4,DUO_CARRY,BOT
1333580,1364478,137065,9,80,4,14,SOLO,TOP
1333581,1364479,137065,10,120,6,11,NONE,JUNGLE
