,matchid,teamid,firstblood,firsttower,firstinhib,firstbaron,firstdragon,firstharry,towerkills,inhibkills,baronkills,dragonkills,harrykills
267124,137060,100,0,1,0,0,0,1,6,0,0,2,1
267125,137060,200,1,0,1,1,1,0,11,4,3,3,0
267126,137061,100,1,0,1,1,0,1,9,2,1,1,1
267127,137061,200,0,1,0,0,1,0,2,0,0,1,0
267128,137062,100,0,0,0,0,1,0,4,0,0,3,0
267129,137062,200,1,1,1,1,0,0,9,2,1,0,0
267130,137063,100,0,0,0,0,0,0,2,0,0,0,0
267131,137063,200,1,1,1,1,1,1,8,1,1,2,1
267132,137064,100,0,0,1,1,0,0,11,4,1,2,0
267133,137064,200,1,1,0,0,1,1,4,0,0,2,1
267134,137065,100,1,0,0,0,1,0,4,0,0,2,0
267135,137065,200,0,1,1,1,0,0,5,1,1,2,0
267136,137066,100,0,0,0,0,0,0,0,0,0,0,0
267137,137066,200,1,1,1,1,1,0,11,4,2,3,0
267138,137067,100,1,0,0,1,0,0,3,0,1,1,0
267139,137067,200,0,1,1,0,1,1,10,2,1,2,1
267140,137068,100,1,1,0,0,1,0,2,0,0,4,0
267141,137068,200,0,0,1,1,0,0,11,3,1,0,0
267142,137069,100,0,0,1,1,1,0,8,4,2,3,0
267143,137069,200,1,1,0,0,0,1,9,1,1,1,1
267144,137070,100,1,0,0,0,0,0,0,0,0,0,0
267145,137070,200,0,1,1,1,1,1,11,3,1,2,1
267146,137071,100,1,1,1,0,1,0,5,1,0,1,0
267147,137071,200,0,0,0,0,0,0,0,0,0,0,0
267148,137072,100,1,0,0,0,1,0,1,0,0,2,0
267149,137072,200,0,1,1,1,0,0,11,3,1,1,0
267150,137073,100,1,1,1,1,1,1,10,3,1,3,1
267151,137073,200,0,0,0,0,0,0,5,0,0,1,0
267152,137074,100,0,0,0,1,0,0,7,1,2,0,0
267153,137074,200,1,1,1,0,1,0,8,1,0,3,0
267154,137075,100,0,1,1,0,1,0,8,1,0,2,0
267155,137075,200,1,0,0,0,0,0,0,0,0,0,0
267156,137076,100,0,0,0,0,0,0,2,0,0,0,0
267157,137076,200,1,1,1,1,1,1,9,1,1,4,1
267158,137077,100,0,0,0,0,0,0,0,0,0,0,0
267159,137077,200,1,1,1,1,1,0,11,3,1,1,0
267160,137078,100,1,1,1,1,0,0,11,3,1,3,0
267161,137078,200,0,0,0,0,1,0,3,0,0,1,0
267162,137079,100,0,1,0,0,0,0,2,0,0,0,0
267163,137079,200,1,0,1,0,1,1,11,3,0,3,1
267164,137080,100,1,1,0,0,1,1,4,0,0,1,1
267165,137080,200,0,0,1,1,0,0,9,1,1,1,0
267166,137081,100,0,1,0,0,1,1,5,0,0,1,1
267167,137081,200,1,0,1,1,0,0,7,2,2,1,0
267168,137082,100,0,0,1,0,1,1,9,3,0,2,1
267169,137082,200,1,1,0,1,0,0,11,5,3,3,0
267170,137083,100,1,1,0,0,1,0,5,0,0,4,0
267171,137083,200,0,0,0,1,0,0,2,0,1,0,0
267172,137084,100,0,0,0,0,0,1,3,0,0,0,1
267173,137084,200,1,1,1,0,1,0,8,1,0,2,0
267174,137085,100,0,0,0,0,0,0,0,0,0,0,0
267175,137085,200,1,1,1,0,1,1,9,1,0,1,1
267176,137086,100,0,0,0,0,0,0,6,0,0,1,0
267177,137086,200,1,1,1,1,1,1,9,2,1,3,1
267178,137087,100,0,0,0,0,1,0,3,0,0,1,0
267179,137087,200,1,1,1,1,0,0,11,5,2,2,0
267180,137088,100,1,1,1,0,0,1,9,1,1,2,1
267181,137088,200,0,0,0,1,1,0,5,0,1,1,0
267182,137089,100,0,0,0,0,1,1,1,0,0,1,1
267183,137089,200,1,1,1,1,0,0,11,3,1,2,0
267184,137090,100,0,0,0,0,1,0,1,0,0,2,0
267185,137090,200,1,1,1,1,0,0,11,3,1,1,0
267186,137091,100,1,0,0,0,0,0,7,1,1,0,0
267187,137091,200,0,1,1,1,1,1,5,1,1,4,1
267188,137092,100,0,1,1,0,1,1,9,1,0,2,1
267189,137092,200,1,0,0,0,0,0,1,0,0,0,0
267190,137093,100,0,0,0,0,0,0,3,0,0,3,0
267191,137093,200,1,1,1,1,1,1,11,4,2,3,1
267192,137094,100,0,1,0,0,1,0,3,0,0,1,0
267193,137094,200,1,0,1,1,0,0,11,3,1,3,0
267194,137095,100,1,1,0,0,0,0,4,0,0,1,0
267195,137095,200,0,0,1,1,1,0,11,3,1,2,0
267196,137096,100,0,1,0,0,0,0,6,0,0,2,0
267197,137096,200,1,0,1,1,1,0,5,1,1,1,0
267198,137097,100,1,1,1,0,0,0,10,2,0,2,0
267199,137097,200,0,0,0,1,1,0,1,0,1,2,0
267200,137098,100,0,0,1,0,0,0,9,2,0,2,0
267201,137098,200,1,1,0,0,1,0,3,0,0,1,0
267202,137099,100,0,0,1,1,1,0,8,1,1,3,0
267203,137099,200,1,1,0,0,0,0,4,0,0,0,0
267204,137100,100,0,1,0,0,0,0,2,0,0,0,0
267205,137100,200,1,0,1,0,1,0,8,1,0,1,0
267206,137101,100,0,1,0,0,1,0,6,0,0,2,0
267207,137101,200,1,0,0,0,0,0,0,0,0,0,0
267208,137102,100,0,1,1,1,0,0,10,2,2,1,0
267209,137102,200,1,0,0,0,1,0,2,0,0,2,0
267210,137103,100,1,0,0,0,0,0,2,0,0,2,0
267211,137103,200,0,1,1,1,1,0,8,1,2,2,0
267212,137104,100,1,1,1,0,0,0,10,2,0,2,0
267213,137104,200,0,0,0,0,1,0,2,0,0,2,0
267214,137105,100,1,1,1,0,1,1,9,1,0,1,1
267215,137105,200,0,0,0,0,0,0,0,0,0,0,0
267216,137106,100,1,0,0,0,0,0,0,0,0,0,0
267217,137106,200,0,1,0,0,1,0,5,0,0,2,0
267218,137107,100,1,1,1,0,1,0,8,3,1,4,0
267219,137107,200,0,0,0,1,0,0,8,1,1,1,0
267220,137108,100,0,0,1,1,1,0,9,1,1,3,0
267221,137108,200,1,1,0,0,0,0,2,0,0,0,0
267222,137109,100,0,0,0,0,0,0,0,0,0,1,0
267223,137109,200,1,1,1,1,1,1,9,1,2,3,1
267224,137110,100,1,1,1,1,0,0,9,1,2,0,0
267225,137110,200,0,0,0,0,1,0,6,1,0,5,0
267226,137111,100,0,0,0,1,1,0,2,0,1,4,0
267227,137111,200,1,1,1,0,0,1,10,4,1,1,1
267228,137112,100,1,1,1,1,1,0,11,3,1,3,0
267229,137112,200,0,0,0,0,0,0,0,0,0,0,0
267230,137113,100,0,0,1,1,0,0,10,2,1,1,0
267231,137113,200,1,1,0,0,1,0,4,0,0,2,0
267232,137114,100,1,0,0,0,0,0,7,1,1,1,0
267233,137114,200,0,1,1,1,1,0,8,1,1,3,0
267234,137115,100,0,0,1,1,0,0,11,3,2,2,0
267235,137115,200,1,1,0,0,1,0,7,0,1,2,0
267236,137116,100,1,0,0,0,1,0,4,0,0,1,0
267237,137116,200,0,1,1,1,0,0,10,3,1,2,0
267238,137117,100,1,1,1,1,1,0,11,3,1,2,0
267239,137117,200,0,0,0,0,0,0,3,0,0,0,0
267240,137118,100,1,1,1,1,1,0,11,3,1,2,0
267241,137118,200,0,0,0,0,0,0,0,0,0,0,0
267242,137119,100,0,0,0,0,0,0,1,0,0,1,0
267243,137119,200,1,1,1,1,1,0,11,3,1,3,0
267244,137120,100,0,0,0,0,1,0,9,2,0,3,0
267245,137120,200,1,1,1,1,0,0,6,1,2,1,0
267246,137121,100,1,1,1,0,1,0,7,1,0,3,0
267247,137121,200,0,0,0,1,0,0,7,1,2,2,0
267248,137122,100,1,1,0,0,1,1,9,1,1,3,1
267249,137122,200,0,0,1,1,0,0,7,1,1,1,0
267250,137123,100,0,1,0,0,0,0,3,0,0,2,0
267251,137123,200,1,0,1,1,1,0,10,1,1,2,0
267252,137124,100,0,1,1,1,1,0,10,2,1,3,0
267253,137124,200,1,0,0,0,0,0,3,0,0,0,0
267254,137125,100,1,1,1,1,1,0,9,2,1,2,0
267255,137125,200,0,0,0,0,0,0,1,0,0,0,0
267256,137126,100,0,0,0,0,1,0,3,0,0,1,0
267257,137126,200,1,1,1,1,0,0,7,1,1,2,0
267258,137127,100,0,1,1,1,1,0,10,2,1,3,0
267259,137127,200,1,0,0,0,0,0,1,0,0,0,0
267260,137128,100,1,1,1,1,0,0,10,2,1,2,0
267261,137128,200,0,0,0,0,1,1,1,0,0,2,1
267262,137129,100,0,0,1,1,0,0,10,2,2,2,0
267263,137129,200,1,1,0,0,1,0,5,0,1,3,0
267264,137130,100,0,0,0,0,0,0,3,0,0,0,0
267265,137130,200,1,1,1,1,1,0,10,3,1,3,0
267266,137131,100,1,1,1,0,1,0,6,1,0,4,0
267267,137131,200,0,0,0,1,0,0,6,1,1,1,0
267268,137132,100,0,0,0,0,0,0,0,0,0,0,0
267269,137132,200,1,1,1,0,1,1,8,1,0,1,1
267270,137133,100,0,0,0,0,0,0,2,0,0,0,0
267271,137133,200,1,1,1,1,1,0,11,3,1,3,0
267272,137134,100,1,0,0,0,0,0,1,0,0,0,0
267273,137134,200,0,1,1,0,1,0,11,1,0,3,0
267274,137135,100,1,1,1,1,1,0,11,3,1,2,0
267275,137135,200,0,0,0,0,0,0,1,0,0,0,0
267276,137136,100,0,1,1,1,1,0,10,2,1,3,0
267277,137136,200,1,0,0,0,0,0,1,0,0,0,0
267278,137137,100,0,0,0,0,0,0,0,0,0,0,0
267279,137137,200,1,1,1,0,1,0,10,2,0,2,0
267280,137138,100,0,0,0,1,0,0,8,1,2,4,0
267281,137138,200,1,1,1,0,1,0,10,2,1,2,0
267282,137139,100,0,1,0,0,0,0,6,0,1,0,0
267283,137139,200,1,0,1,1,1,0,9,4,1,4,0
267284,137140,100,0,1,1,0,1,0,10,2,0,2,0
267285,137140,200,1,0,0,0,0,0,0,0,0,0,0
267286,137141,100,0,1,1,0,1,0,11,2,0,1,0
267287,137141,200,1,0,0,0,0,0,0,0,0,0,0
267288,137142,100,1,1,0,0,1,0,8,1,0,3,0
267289,137142,200,0,0,1,1,0,0,9,2,1,2,0
267290,137143,100,0,0,0,1,1,0,9,1,2,4,0
267291,137143,200,1,1,1,0,0,0,6,1,0,1,0
267292,137144,100,1,1,1,1,0,1,10,3,1,0,1
267293,137144,200,0,0,0,0,1,0,2,0,0,5,0
